FCI,slug,nazov,vyska_verejna,hmotnost_verejna,sekcia_verejna,image_url,zistenia,obrazok_http_status,obrazok_content_type
277,chorvatsky-ovciak,Chorvátsky ovčiak,43–50 cm,,Ovčiarske psy,/media/articles/2026/f726f1dc-66fc-488b-a2e4-be16215faafc.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
156,dlhosrsta-kolia,Dlhosrstá kólia,51–61 cm,,Ovčiarske psy,/media/articles/2026/8388462b-0394-4940-aa71-39523884289e.webp,chybajuca verejna hmotnost; editorial_complete=0,200,image/webp
141,dlhosrsty-pyrenejsky-ovciak,Dlhosrstý pyrenejský ovčiak,40–48 cm,,Ovčiarske psy,/media/articles/2026/b9222744-abaa-4601-963f-412966050c5c.webp,chybajuca verejna hmotnost; editorial_complete=0,200,image/webp
191,flamsky-bouvier,Flámsky bouvier,59–68 cm,27–40 kg,Pastierske psy okrem švajčiarskych salašníckych psov,/media/articles/2026/a2e0332b-545d-47d8-89f7-3d9d6ba75782.webp,editorial_complete=0,200,image/webp
223,holandsky-ovciak,Holandský ovčiak,55–62 cm,,Ovčiarske psy,/media/articles/2026/43aad40c-0b39-4214-8591-0a784a5dc6dc.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
313,holandsky-schapendoes,Holandský schapendoes,40–50 cm,,Ovčiarske psy,/media/articles/2026/dce33a4b-bb88-46d9-923c-e517aad53f45.webp,chybajuca verejna hmotnost; editorial_complete=0,200,image/webp
326,juhorusky-ovciak,Juhoruský ovčiak,62–65 cm,,Ovčiarske psy,/media/articles/2026/f746bce1-259d-4e0b-ba26-56505a7fdc71.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
87,katalansky-ovciak,Katalánsky ovčiak,45–55 cm,,Ovčiarske psy,/media/articles/2026/9667c27a-f2ac-47ef-a4a0-a8b90fed1a66.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
53,komondor,Komondor,65–70 cm,40–60 kg,Ovčiarske psy,/media/articles/2026/dd9dce0c-bca4-4679-bff2-697d2293a5e0.webp,editorial_complete=0,200,image/webp
296,kratkosrsta-kolia,Krátkosrstá kólia,51–61 cm,,Ovčiarske psy,/media/articles/2026/008096a4-f840-4357-a639-dd81ec7afc12.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
138,kratkosrsty-pyrenejsky-ovciak,Krátkosrstý pyrenejský ovčiak,40–54 cm,,Ovčiarske psy,/media/articles/2026/70133ab1-e143-45d9-9e6b-a72ef64bc353.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
54,kuvasz,Kuvasz,66–76 cm,37–62 kg,Ovčiarske psy,/media/articles/2026/1810b44f-33aa-44b5-b487-9477fbf3bd6d.png,editorial_complete=0,200,image/png
321,mallorsky-ovciak,Mallorský ovčiak,62–73 cm,30–40 kg,Ovčiarske psy,/media/articles/2026/b0eee43b-a5c3-45fb-a17e-256c58ae0aff.png,editorial_complete=0,200,image/png
201,maremansko-abruzzsky-ovciak,Maremánsko-abruzzský ovčiak,60–73 cm,30–45 kg,Ovčiarske psy,/media/articles/2026/7010bf5a-0e1c-4c09-87a1-2e7759ce99be.png,editorial_complete=0,200,image/png
238,mudi,Mudi,38–47 cm,8–13 kg,Ovčiarske psy,/media/articles/2026/a1c815a4-ba65-4184-a5f7-ac8f33669d07.png,editorial_complete=0,200,image/png
166,nemecky-ovciak,Nemecký ovčiak,55–65 cm,22–40 kg,Ovčiarske psy,/media/articles/2026/6250219c-0a6c-45e5-a1e1-ddf4a91accbf.png,editorial_complete=0,200,image/png
176,pikardsky-ovciak,Pikardský ovčiak,55–65 cm,,Ovčiarske psy,/media/articles/2026/ce4c3342-80f7-4e08-845e-843ae6a4a8bc.webp,chybajuca verejna hmotnost; editorial_complete=0,200,image/webp
93,portugalsky-ovciak,Portugalský ovčiak,42–55 cm,17–27 kg,Ovčiarske psy,/media/articles/2026/f7076cec-e280-4184-95b2-c176e0f81a96.png,editorial_complete=0,200,image/png
251,polsky-nizinny-ovciak,Poľský nížinný ovčiak,42–50 cm,,Ovčiarske psy,/media/articles/2026/c0f60a5c-bd16-4c99-8baa-7c5f6ebe8e12.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
252,polsky-tatransky-ovciak,Poľský tatranský ovčiak,60–70 cm,,Ovčiarske psy,/media/articles/2026/6f705dec-6f12-401a-92b7-4e289a999988.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
55,puli,Puli,36–45 cm,10–15 kg,Ovčiarske psy,/media/articles/2026/b9b40f59-db7f-4308-a51b-476c4db531f8.png,editorial_complete=0,200,image/png
56,pumi,Pumi,38–47 cm,8–15 kg,Ovčiarske psy,/media/articles/2026/830e2848-a8f5-4127-a977-6ec096f2959e.png,editorial_complete=0,200,image/png
350,rumunsky-karpatsky-ovciak,Rumunský karpatský ovčiak,59–73 cm,,Ovčiarske psy,/media/articles/2026/ed1a0424-d651-45a6-937e-486304b127b4.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
349,rumunsky-mioriticky-ovciak,Rumunský mioritický ovčiak,65–70 cm,,Ovčiarske psy,/media/articles/2026/e7ca1989-ce5f-4461-a4af-32fe9fe442d5.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
311,saarloosov-vlciak,Saarloosov vlčiak,60–75 cm,,Ovčiarske psy,/media/articles/2026/db702d82-e908-42a3-806a-ecea32eb285f.webp,chybajuca verejna hmotnost; editorial_complete=0,200,image/webp
142,slovensky-cuvac,Slovenský čuvač,59–70 cm,31–44 kg,Ovčiarske psy,/media/articles/2026/fed89b87-cde4-42b0-942c-df6823d3ca27.png,editorial_complete=0,200,image/png
38,welsh-corgi-cardigan,Welsh Corgi Cardigan,30 cm,,Pastierske psy okrem švajčiarskych salašníckych psov,/media/articles/2026/4684be47-2f85-4389-bfdd-5adf3a13f39f.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
39,welsh-corgi-pembroke,Welsh Corgi Pembroke,25–30 cm,9–12 kg,Pastierske psy okrem švajčiarskych salašníckych psov,/media/articles/2026/4ed62ef4-01f2-434f-a2b2-d73862012fd5.png,editorial_complete=0,200,image/png
332,ceskoslovensky-vlciak,Československý vlčiak,60–65 cm,20–26 kg,Ovčiarske psy,/media/articles/2026/75a6a1a5-fe7f-4655-8c9f-782d4e427ade.png,editorial_complete=0,200,image/png
88,seltia-shetlandsky-ovciak,Šeltia – shetlandský ovčiak,"35,5–37 cm",,Ovčiarske psy,/media/articles/2026/f441919c-212f-4a7c-bca6-3f5314f39461.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
83,siperka,Šiperka,,3–9 kg,Ovčiarske psy,/media/articles/2026/ffb268c8-3295-4ee3-8e62-7b2074be231c.png,chybajuca verejna vyska; editorial_complete=0,200,image/png
186,affenpinscher,Affenpinscher,25–30 cm,4–6 kg,Pinče,/media/articles/2026/488693bf-023f-4790-9489-f5e8111ec2e2.webp,editorial_complete=0,200,image/webp
247,aidi-atlasky-horsky-pes,Aidi – atlaský horský pes,52–62 cm,,Molosoidné plemená – horský typ,/media/articles/2026/9424d304-2341-4821-94e2-95db9cdd8a83.webp,chybajuca verejna hmotnost; editorial_complete=0,200,image/webp
